# Indice      RAJ2000    Dec        Jmag     Hmag     Kmag     umag     gmag     rmag     imag     zmag    
  object67    44.85057   -0.98815   14.174   13.857   13.779   16.391   15.262   15.016   14.921   14.917  
  object68    47.65317   -2.76524   999       999       999       999       999       999       999       999      
  object69    45.76502   -2.7706    15.108   14.469   14.337   19.465   17.485   16.548   16.155   15.898  
  object70    46.8115    -1.86451   13.405   12.987   12.923   999       999       999       999       999      
  object71    46.82439   -1.59334   11.808   11.502   11.451   999       999       999       999       999      
  object72    45.57327   -1.46796   12.537   12.053   12.001   16.519   14.946   14.09    16.031   13.706  
  object73    46.31392   -0.69875   13.252   12.903   12.832   16.147   14.775   14.473   14.066   13.996  
  object74    45.86272   -0.62647   13.594   13.405   13.302   16.051   14.918   14.578   14.462   14.466  
  object75    50.33906   -2.30638   15.233   15.018   14.729   999       999       999       999       999      
  object76    50.39377   -1.73555   14.079   13.706   13.694   999       999       999       999       999      
  object77    49.57337   -1.59352   13.305   13.018   12.915   999       999       999       999       999      
  object78    49.26445   -1.17336   13.533   13.147   13.064   17.003   15.542   14.934   14.729   14.65   
  object79    47.92159   -0.72995   10.907   10.569   10.461   15.32    15.384   12.058   11.869   14.363  
  object80    50.47737   -0.6604    14.795   14.546   14.39    16.945   15.646   15.585   15.579   15.599  
  object81    49.07665   -0.33013   14.94    14.441   14.466   18.353   16.911   16.332   16.125   16.059  
  object82    48.70323   -0.30931   12.83    12.434   12.321   16.198   15.283   14.213   13.961   13.979  
  object83    51.25972   -2.70838   14.93    14.838   14.672   999       999       999       999       999      
  object84    51.62693   -2.46529   15.878   15.407   15.402   999       999       999       999       999      
  object85    50.99057   -1.63355   999       999       999       999       999       999       999       999      
  object86    51.84867   -1.15982   12.676   12.467   12.342   15.629   14.498   13.974   13.846   13.776  
  object87    52.26034   -0.89025   15.736   15.617   15.205   19.635   18.171   17.571   17.318   17.176  
  object88    50.87129   -0.58015   14.421   13.998   13.864   17.858   16.393   15.796   15.542   15.415  
  object89    2.85107    -4.10593   13.525   12.833   12.63    20.549   18.016   16.619   15.553   14.941  
  object90    5.32431    -3.57685   14.831   14.481   14.404   17.957   16.702   16.263   16.077   16.021  
  object91    4.09817    -3.48165   14.276   14.036   13.96    16.151   15.141   14.944   14.899   14.904  
  object92    5.79232    -5.04896   14.013   13.604   13.506   17.157   15.79    15.261   15.062   14.964  
  object93    7.97834    -3.88107   13.135   12.99    12.901   15.45    14.296   14.087   14.073   14.113  
