# Indice      RAJ2000    Dec        Jmag     Hmag     Kmag     umag     gmag     rmag     imag     zmag    
  object1036  37.30993   9.6019     16.227   15.825   15.986   999       999       999       999       999      
  object1037  37.02506   9.66348    15.451   15.024   15.147   999       999       999       999       999      
  object1038  38.93671   9.95725    14.237   13.54    13.397   999       999       999       999       999      
  object1039  37.52796   10.08659   11.87    11.571   11.45    999       999       999       999       999      
  object1040  39.57718   10.21978   15.642   15.317   15.276   999       999       999       999       999      
  object1041  39.22152   10.50401   12.475   12.161   12.022   999       999       999       999       999      
  object1042  37.20738   10.63535   13.611   13.328   13.313   999       999       999       999       999      
  object1043  38.82097   10.91313   999       999       999       999       999       999       999       999      
  object1044  38.26254   10.99559   11.103   10.463   10.25    999       999       999       999       999      
  object1045  42.45213   10.37353   14.807   14.245   14.052   999       999       999       999       999      
  object1046  45.3405    8.92291    13.753   13.508   13.354   999       999       999       999       999      
  object1047  45.20984   9.13726    14.779   14.376   14.268   999       999       999       999       999      
  object1048  44.60961   9.60926    15.885   15.24    15.107   999       999       999       999       999      
  object1049  44.36846   9.73871    15.844   15.624   15.468   999       999       999       999       999      
  object1050  44.83954   10.0614    11.425   10.987   10.863   999       999       999       999       999      
  object1051  47.71141   8.56876    13.083   12.444   12.31    999       999       999       999       999      
  object1052  45.34057   8.92292    13.753   13.508   13.354   999       999       999       999       999      
  object1053  46.99746   9.36806    12.621   12.028   11.832   999       999       999       999       999      
  object1054  45.45265   9.49801    999       999       999       999       999       999       999       999      
  object1055  46.39036   9.75026    11.651   11.255   11.097   15.997   14.172   13.209   12.924   13.475  
  object1056  47.56601   10.13519   15.183   14.563   14.319   20.632   18.284   17.097   16.556   16.214  
  object1057  47.16245   10.25653   999       999       999       999       999       999       999       999      
  object1058  48.07034   10.41343   15.192   14.541   14.406   20.114   18.228   17.164   16.68    16.339  
  object1059  48.16968   10.52386   14.963   14.625   14.468   19.004   17.559   16.783   16.468   16.288  
  object1060  46.93971   10.71532   12.171   11.736   11.619   16.148   14.887   15.197   13.493   13.344  
  object1061  47.00911   11.1795    12.4     11.954   11.856   17.182   15.659   13.946   15.888   14.325  
  object1062  47.45391   11.07739   15.04    14.476   14.459   999       999       999       999       999      
  object1063  50.84876   8.69099    13.126   12.606   12.444   999       999       999       999       999      
  object1064  48.27365   9.22567    999       999       999       999       999       999       999       999      
  object1065  50.15143   9.35442    16.722   15.952   15.859   999       999       999       999       999      
  object1066  48.1702    10.52548   999       999       999       999       999       999       999       999      
  object1067  52.20078   8.49338    999       999       999       999       999       999       999       999      
  object1068  52.10727   9.07334    12.123   11.758   11.666   999       999       999       999       999      
  object1069  52.31129   9.18895    11.254   10.898   10.863   999       999       999       999       999      
  object1070  51.6607    9.48455    13.044   12.62    12.566   999       999       999       999       999      
  object1071  51.55103   9.81882    10.754   10.428   10.314   999       999       999       999       999      
  object1072  51.3389    10.97997   12.014   11.338   11.147   999       999       999       999       999      
  object1073  0.27893    12.10282   14.719   14.322   14.162   17.842   16.523   15.952   15.729   15.608  
  object1074  0.99569    12.45956   15.691   15.144   15.048   18.952   17.381   16.7     16.43    16.256  
  object1075  4.07217    11.28433   15.879   15.565   15.254   18.93    17.576   17.024   16.786   16.673  
  object1076  3.99888    11.99373   15.185   15.081   15.064   17.196   15.925   15.941   15.897   15.907  
  object1077  5.22284    12.10751   11.622   11.363   11.28    14.928   13.211   12.728   12.582   13.125  
  object1078  3.82764    12.58826   15.682   15.163   14.949   19.508   17.837   17.133   16.852   16.682  
  object1079  3.88118    12.82631   13.988   13.652   13.606   17.008   15.692   15.2     15.886   14.947  
  object1080  3.40014    12.95152   15.427   15.256   15.232   17.677   16.456   16.256   16.2     16.181  
  object1081  3.63489    13.44455   15.002   14.438   14.305   18.516   16.748   15.997   15.707   15.544  
  object1082  3.85235    13.47911   14.804   14.204   13.924   21.951   19.245   17.893   16.748   16.107  
  object1083  5.4617     13.9184    999       999       999       999       999       999       999       999      
  object1084  6.1217     11.77406   15.64    15.151   15.137   18.741   17.352   16.821   16.58    16.44   
  object1085  6.70468    12.13104   14.225   13.835   13.79    17.82    16.331   15.651   15.426   15.323  
  object1086  9.73688    11.43876   999       999       999       999       999       999       999       999      
  object1087  9.07043    11.70205   14.289   13.815   13.735   17.949   16.269   15.527   15.172   14.981  
  object1088  10.1554    12.32087   15.416   14.96    14.788   20.417   18.272   17.261   16.898   16.67   
  object1089  9.58938    12.57886   15.515   15.22    14.957   18.72    17.303   16.709   16.481   16.364  
  object1090  10.72504   12.74431   11.411   11.032   10.989   15.467   15.68    12.656   12.238   13.66   
  object1091  9.44477    12.84536   14.193   13.492   13.334   19.839   17.44    16.218   15.661   15.309  
  object1092  10.96161   13.90485   14.406   13.928   13.82    18.189   16.536   15.819   15.55    15.402  
  object1093  9.19568    13.92889   15.959   15.481   14.986   20.715   18.865   18.025   17.658   17.492  
  object1094  13.74824   11.33379   12.05    11.73    11.675   15.355   13.755   13.017   12.857   13.56   
  object1095  12.66211   11.89422   12.045   11.463   11.397   16.831   14.965   15.387   15.824   13.383  
  object1096  13.24177   12.58149   13.897   13.607   13.489   16.588   15.375   14.938   15.382   14.705  
  object1097  12.42942   12.73558   16.03    15.822   15.86    18.176   17.19    16.974   16.89    16.887  
  object1098  11.78697   12.89325   16.226   15.897   15.463   18.862   17.734   17.314   17.162   17.107  
  object1099  12.58731   14.0092    11.333   11.18    11.118   14.656   12.539   12.057   12.01    13.075  
  object1100  13.53618   13.95891   14.197   13.557   13.401   19.718   17.338   16.248   15.678   15.308  
  object1101  16.49799   12.2087    13.729   13.297   13.261   16.935   15.508   14.937   14.725   14.633  
  object1102  14.95885   12.4177    12.83    12.415   12.299   16.947   15.804   16.526   13.916   14.613  
  object1103  15.23002   13.65818   15.368   14.79    14.66    19.093   17.59    16.917   16.611   16.408  
  object1104  14.62425   13.81223   11.465   11.016   10.929   15.836   15.879   12.892   12.649   13.594  
  object1105  18.51529   11.73992   12.439   12.119   12.098   15.239   14.105   12.552   15.402   13.19   
  object1106  17.69311   11.90919   15.686   15.444   15.716   19.267   17.746   17.108   16.84    16.715  
  object1107  19.53327   12.42251   14.191   13.718   13.576   17.565   16.141   15.509   15.28    15.173  
  object1108  19.07822   12.68124   12.194   11.801   11.714   16.01    15.966   13.356   13.28    14.127  
  object1109  18.51694   12.96001   11.798   11.568   11.526   15.405   13.542   12.966   12.882   13.937  
  object1110  18.93462   13.03585   999       999       999       999       999       999       999       999      
  object1111  18.93814   13.14333   14.162   13.898   13.758   16.648   15.527   15.174   15.042   14.927  
  object1112  17.68017   13.19479   11.997   11.458   11.207   19.504   16.963   15.54    14.2     13.489  
  object1113  19.70322   13.35222   999       999       999       999       999       999       999       999      
  object1114  17.96054   13.42002   14.506   14.055   13.864   17.722   16.323   15.779   15.564   15.475  
  object1115  17.61242   13.7079    12.917   12.585   12.511   15.297   15.762   13.727   13.774   13.718  
  object1116  18.89048   13.74455   12.666   12.124   11.988   17.19    15.46    15.695   13.587   14.009  
  object1117  22.36925   11.34914   14.837   14.278   14.215   18.596   17.195   16.46    16.135   15.915  
  object1118  21.14415   11.76494   15.225   15.228   15.131   16.711   15.52    15.588   15.675   15.77   
  object1119  22.39709   12.43097   15.589   15.009   14.734   19.319   17.596   16.848   16.545   16.353  
  object1120  21.93016   13.09185   15.144   14.615   14.46    18.634   17.167   16.509   16.241   16.101  
  object1121  21.39762   13.09337   11.361   11.204   11.197   14.686   12.624   12.456   12.365   13.359  
  object1122  22.56848   13.5568    9.659    9.289    9.215    14.178   11.69    10.965   10.836   11.129  
  object1123  21.25506   13.78506   12.636   12.134   11.958   17.141   15.073   14.217   13.891   13.704  
  object1124  24.72593   11.99837   13.281   12.718   12.56    17.891   15.816   14.891   14.885   14.293  
  object1125  25.41597   12.15834   12.416   12.04    11.952   15.62    14.157   13.425   13.198   13.551  
  object1126  23.69845   12.42978   12.407   12.152   12.133   15.998   14.007   13.322   13.362   14.269  
  object1127  23.80911   12.45068   14.254   13.935   13.78    18.323   16.715   16.123   15.852   15.663  
  object1128  23.17293   12.91032   13.1     12.72    12.582   16.198   14.89    14.377   14.156   14.118  
  object1129  24.71615   12.92838   16.833   15.945   15.908   20.057   18.783   18.232   17.983   17.832  
  object1130  25.53887   13.07036   13.655   13.093   12.977   18.026   16.084   15.246   14.905   14.703  
  object1131  24.33418   13.40773   14.472   14.05    13.94    17.684   16.312   15.746   15.506   15.393  
  object1132  25.53459   13.85737   12.825   12.415   12.256   16.292   14.709   14.045   13.784   13.645  
  object1133  28.07162   12.58769   13.719   13.066   12.937   18.665   16.563   15.6     15.174   14.888  
  object1134  27.18172   13.06981   12.864   12.532   12.41    15.669   14.449   13.985   13.796   13.719  
  object1135  26.93998   13.12899   14.95    14.357   14.287   17.989   16.487   15.786   15.515   15.365  
  object1136  27.01354   13.71286   14.676   14.042   13.997   18.823   16.975   16.134   15.808   15.624  
  object1137  28.5964    11.67424   13.8     13.188   13.171   18.873   16.694   15.718   15.312   15.05   
  object1138  30.54902   12.03977   12.417   11.986   11.846   16.477   15.406   13.892   13.64    13.669  
  object1139  31.23685   12.11726   13.993   13.699   13.713   16.81    15.606   15.232   15.085   15.025  
  object1140  30.23555   12.1413    14.101   13.659   13.523   17.701   16.228   15.529   15.251   15.093  
  object1141  34.17562   11.66798   11.82    11.504   11.432   999       999       999       999       999      
  object1142  32.08128   12.12909   12.272   11.642   11.387   999       999       999       999       999      
  object1143  32.60864   12.26074   14.502   13.979   13.785   19.275   17.262   16.256   15.806   15.526  
  object1144  33.5886    12.32686   11.76    11.552   11.482   15.261   13.274   12.569   12.427   13.536  
  object1145  31.5301    12.60619   15.705   15.324   15.216   18.466   17.201   16.733   16.532   16.434  
  object1146  33.54121   13.02948   13.399   12.877   12.769   17.957   16.017   15.103   14.72    14.522  
  object1147  34.2836    13.09008   16.492   15.923   16.369   20.623   18.84    18.083   17.725   17.494  
  object1148  32.27668   13.4973    14.388   14.007   13.84    17.29    15.975   15.472   15.292   15.213  
  object1149  35.28154   11.47802   13.079   12.761   12.726   999       999       999       999       999      
  object1150  36.7197    11.83698   14.118   13.643   13.494   999       999       999       999       999      
  object1151  36.85997   11.94706   13.286   12.641   12.476   999       999       999       999       999      
  object1152  35.40475   11.94743   13.063   12.751   12.729   999       999       999       999       999      
  object1153  35.87336   11.95654   13.334   12.832   12.711   17.185   15.54    14.836   14.512   14.33   
  object1154  35.28644   12.50439   14.734   14.301   14.208   18.401   16.916   16.227   15.923   15.759  
  object1155  36.55694   12.55209   13.552   13.094   13.001   999       999       999       999       999      
  object1156  34.84241   12.61095   13.923   13.551   13.5     17.266   15.793   15.207   14.936   14.809  
  object1157  34.8564    12.79649   14.884   14.429   14.286   999       999       999       999       999      
  object1158  34.28349   13.0901    16.492   15.923   16.369   20.623   18.84    18.083   17.725   17.494  
  object1159  36.17789   13.21004   13.419   12.8     12.585   19.392   16.976   15.778   15.154   14.725  
  object1160  36.57989   13.41937   16.028   15.604   14.648   999       999       999       999       999      
  object1161  35.81294   13.54915   999       999       999       999       999       999       999       999      
  object1162  34.80184   13.57424   14.388   13.965   13.87    999       999       999       999       999      
  object1163  36.28407   13.64022   14.3     13.677   13.593   19.466   16.976   15.927   15.441   15.132  
  object1164  34.95162   13.66258   13.96    13.519   13.325   999       999       999       999       999      
  object1165  34.59082   14.06345   16.434   15.488   15.141   999       999       999       999       999      
  object1166  37.25889   11.64095   14.848   14.679   14.463   999       999       999       999       999      
  object1167  39.40415   12.69068   14.855   14.366   14.268   999       999       999       999       999      
  object1168  39.1586    12.78426   12.517   12.193   12.111   999       999       999       999       999      
  object1169  38.53678   13.07267   14.734   14.405   14.281   999       999       999       999       999      
  object1170  39.9553    13.08807   16.745   16.303   16.336   999       999       999       999       999      
  object1171  37.84259   13.52746   15.064   14.578   14.388   999       999       999       999       999      
  object1172  41.84484   11.35267   12.792   12.265   12.144   999       999       999       999       999      
  object1173  42.23658   12.00313   13.974   13.304   13.108   999       999       999       999       999      
  object1174  42.34802   13.01354   12.193   11.547   11.429   999       999       999       999       999      
  object1175  45.08624   11.63151   14.784   14.261   14.115   999       999       999       999       999      
  object1176  45.06077   12.25298   15.1     14.727   14.474   999       999       999       999       999      
  object1177  45.10433   12.36947   14.592   14.263   14.135   999       999       999       999       999      
  object1178  44.62522   12.47255   999       999       999       999       999       999       999       999      
  object1179  44.85076   12.64639   11.749   11.383   11.286   999       999       999       999       999      
  object1180  45.1752    12.71585   13.35    12.858   12.738   999       999       999       999       999      
  object1181  45.34562   13.06037   13.371   12.946   12.849   999       999       999       999       999      
  object1182  45.0301    13.63889   12.775   12.379   12.3     999       999       999       999       999      
  object1183  46.52276   11.6557    999       999       999       999       999       999       999       999      
  object1184  47.41767   11.9034    16.261   15.811   15.437   21.165   19.201   18.178   17.704   17.42   
  object1185  48.97369   13.48488   16.264   15.749   15.487   999       999       999       999       999      
  object1186  51.48155   13.12206   13.573   13.196   13.056   17.615   16.134   15.337   14.987   14.803  
  object1187  4.57407    14.17418   15.887   15.596   15.353   18.693   17.507   17.04    16.873   16.801  
  object1188  3.98003    14.25672   12.766   12.463   12.413   15.51    14.333   13.825   13.779   13.694  
  object1189  5.20433    14.28919   13.29    12.789   12.7     17.371   15.606   14.842   14.583   14.467  
  object1190  3.24961    14.31602   11.884   11.546   11.422   15.682   14.683   13.6     14.299   13.345  
  object1191  3.55655    14.74822   14.316   13.984   13.86    17.159   15.894   15.386   15.214   15.14   
  object1192  5.08019    15.1847    16.687   16.361   16.023   18.925   17.84    17.705   17.705   17.773  
  object1193  3.80613    15.40092   14.225   13.67    13.489   19.461   17.218   16.297   15.912   15.666  
  object1194  4.97915    15.58632   13.617   13.113   12.955   17.965   16.055   15.238   14.897   14.855  
  object1195  2.98661    16.39165   15.271   14.807   14.687   19.044   17.513   16.816   16.495   16.288  
  object1196  4.95639    16.65418   12.826   12.519   12.407   15.631   14.349   13.804   17.22    13.593  
  object1197  8.08027    14.28064   13.714   13.289   13.249   16.412   15.108   14.638   14.468   14.401  
  object1198  6.30193    14.45579   13.176   12.622   12.511   17.102   15.343   14.567   14.269   14.128  
  object1199  6.63227    14.57486   12.606   12.177   12.012   16.639   14.838   14.074   13.954   13.694  
  object1200  8.47997    15.02226   13.047   12.718   12.583   15.88    14.721   14.286   14.13    14.051  
  object1201  7.58291    15.1467    13.84    13.485   13.379   16.636   15.338   14.841   15.061   14.552  
  object1202  6.27729    15.45726   13.594   13.391   13.321   16.279   15.296   16.262   14.696   14.476  
  object1203  6.8827     15.70534   13.614   13.28    13.069   17.605   16.085   15.485   15.155   14.853  
  object1204  7.56136    15.97225   12.424   11.956   11.811   17.129   15.711   16.183   13.616   14.219  
  object1205  7.34382    16.13971   14.86    14.304   14.229   19.449   17.304   16.433   16.103   15.904  
  object1206  6.7045     16.28219   13.77    13.127   13.019   18.681   16.416   15.409   15.019   14.787  
  object1207  7.79596    16.68539   15.489   15.058   15.043   19.608   17.504   16.867   16.599   16.426  
  object1208  7.58325    16.75381   15.444   14.834   14.613   21.357   19.033   17.733   17.08    16.677  
  object1209  11.55331   14.26151   11.9     11.394   11.287   16.305   14.711   14.77    14.896   13.293  
  object1210  9.39241    14.77022   15.192   14.911   15.071   17.236   16.075   15.843   15.785   15.791  
  object1211  10.82749   14.99958   14.458   14.045   13.864   17.208   15.963   15.509   15.318   15.21   
  object1212  10.69632   15.02246   12.902   12.609   12.519   15.458   14.233   13.663   13.67    13.597  
  object1213  11.2624    15.83807   11.99    11.687   11.643   15.154   13.921   13.444   15.512   13.253  
  object1214  11.30673   15.95919   15.347   14.785   14.468   21.431   19.229   17.956   17.062   16.503  
  object1215  10.12309   16.48057   13.044   12.619   12.507   16.579   14.962   14.339   14.092   13.917  
  object1216  10.90235   16.62374   15.54    14.895   14.509   21.576   18.928   17.668   17.077   16.693  
  object1217  10.9773    16.75528   13.448   13.167   13.035   16.402   15.08    14.567   14.387   14.317  
  object1218  11.36627   16.77077   999       999       999       999       999       999       999       999      
  object1219  9.61371    16.90452   999       999       999       999       999       999       999       999      
  object1220  13.15208   14.37512   12.363   11.841   11.732   16.638   14.748   14.142   13.737   13.383  
  object1221  12.53455   14.57885   14.785   14.205   14.024   19.43    17.395   16.49    16.099   15.855  
  object1222  12.32339   14.81796   14.227   13.593   13.502   20.349   17.957   16.802   16.38    16.166  
  object1223  13.38908   14.93754   15.151   14.753   14.748   18.108   16.839   16.33    16.127   16.036  
  object1224  12.25471   15.32668   13.093   12.728   12.623   15.855   14.908   14.303   14.241   14.063  
  object1225  13.57412   15.48194   14.468   14.265   14.177   16.929   15.831   15.463   15.348   15.308  
  object1226  11.87386   15.53601   15.452   15.047   14.771   18.462   17.115   16.566   16.366   16.283  
  object1227  13.93013   15.63022   11.588   11.329   11.292   15.905   13.589   12.95    12.928   14.282  
  object1228  14.48893   16.31081   13.559   13.082   13.019   17.43    15.644   14.943   14.641   14.476  
  object1229  14.24638   16.63164   11.04    10.445   10.349   15.783   15.942   12.62    12.281   13.306  
  object1230  16.03603   14.76576   15.059   14.22    14.008   21.895   19.3     17.743   16.825   16.283  
  object1231  15.25983   14.78296   11.175   10.791   10.778   15.269   15.568   12.777   12.572   13.414  
  object1232  14.73146   15.3592    13.197   12.559   12.372   19.052   16.657   15.489   14.888   14.454  
  object1233  14.58419   15.53258   12.548   12.155   12.114   16.214   14.938   14.022   14.059   13.758  
  object1234  14.70244   16.06472   12.705   12.445   12.396   15.279   14.186   13.667   13.653   13.594  
  object1235  14.69586   16.26749   15.014   14.543   14.485   17.824   16.611   16.13    15.927   15.866  
  object1236  16.21881   16.90626   14.887   14.402   14.277   19.473   17.484   16.697   16.367   16.138  
  object1237  18.13475   14.51726   15.366   14.667   14.742   19.877   17.823   16.908   16.549   16.361  
  object1238  19.73015   14.62376   13.382   12.966   12.877   16.35    14.883   14.302   14.225   14.03   
  object1239  17.53768   14.6802    14.169   13.628   13.485   18.91    16.777   15.893   15.495   15.262  
  object1240  18.86494   14.98782   14.183   13.987   13.801   16.614   15.478   15.114   14.977   14.934  
  object1241  19.9958    15.00728   11.827   11.534   11.461   15.288   13.421   12.82    12.712   13.62   
  object1242  18.52453   15.02717   14.888   14.412   14.173   19.075   17.164   16.375   16.089   15.916  
  object1243  20.03338   15.34547   13.341   13.133   13.065   16.424   15.331   14.304   14.95    14.789  
  object1244  19.24401   15.79691   16.007   15.621   15.941   19.158   17.971   17.397   17.196   17.11   
  object1245  20.06005   15.82835   15.078   14.705   14.556   18.257   16.837   16.255   16.027   15.913  
  object1246  20.25422   16.16333   14.439   13.913   13.774   18.698   16.943   16.046   15.734   15.563  
  object1247  18.74366   16.24295   16.279   15.937   15.594   20.9     18.907   17.968   17.603   17.39   
  object1248  18.53456   16.51615   12.81    12.616   12.564   15.226   14.042   13.796   13.813   13.69   
  object1249  20.29517   16.6942    13.283   12.755   12.621   17.593   15.866   15.084   14.769   14.607  
  object1250  17.9971    16.82398   14.306   13.765   13.67    18.083   16.425   15.659   15.356   15.199  
  object1251  19.00447   16.82215   999       999       999       999       999       999       999       999      
  object1252  18.58382   16.8851    13.472   13.149   13.088   16.557   15.07    14.552   14.375   14.331  
  object1253  20.38181   14.96556   13.475   12.978   12.933   17.955   15.868   15.04    14.731   14.559  
  object1254  22.20718   16.00453   13.503   12.931   12.81    17.905   16.054   15.203   14.813   14.588  
  object1255  22.67435   16.15454   14.862   14.324   14.086   19.439   17.609   16.707   16.267   16.022  
  object1256  21.76352   16.2362    13.724   13.357   13.253   16.195   14.994   14.694   14.557   14.507  
  object1257  20.62266   16.90248   13.088   12.515   12.373   17.763   15.787   14.862   14.73    14.168  
  object1258  23.34781   14.78793   14.873   14.456   14.475   18.235   16.8     16.217   16.004   15.916  
  object1259  25.11351   15.03421   11.684   11.375   11.279   14.934   13.53    12.964   13.095   12.709  
  object1260  23.57067   15.54611   12.361   11.694   11.543   18.487   15.922   14.734   14.123   13.695  
  object1261  25.08044   16.89383   15.743   15.217   14.687   20.779   18.563   17.653   17.264   17.016  
  object1262  26.94431   14.36055   14.199   13.503   13.295   20.599   18.249   16.853   16.152   15.67   
  object1263  28.79572   14.63354   13.585   13.184   13.129   16.137   14.98    14.52    14.356   14.295  
  object1264  28.1423    16.30023   13.458   12.815   12.601   18.955   16.604   15.415   14.946   14.662  
  object1265  27.87556   16.91136   14.935   14.232   14.28    20.418   18.03    16.961   16.453   16.099  
  object1266  29.08555   14.13945   13.578   13.196   13.174   16.392   14.929   14.386   14.613   14.079  
  object1267  29.93727   14.55267   13.221   12.966   12.91    16.089   14.76    14.283   14.123   14.064  
  object1268  30.20339   14.63619   15.926   15.558   15.082   17.769   16.767   16.54    16.457   16.434  
  object1269  31.39502   14.77506   13.854   13.64    13.606   15.821   14.638   14.473   14.464   14.523  
  object1270  31.57177   14.87038   12.994   12.78    12.772   15.19    14.025   13.825   15.992   13.801  
  object1271  31.87581   14.93956   13.732   13.174   12.988   19.335   16.755   15.574   15.094   14.818  
  object1272  30.16168   15.07934   14.259   13.755   13.694   18.145   16.255   15.523   15.234   15.042  
  object1273  29.6644    15.70159   16.208   15.641   15.452   20.658   18.61    17.683   17.295   17.075  
  object1274  30.33434   16.18753   15.201   14.98    14.867   17.021   15.886   15.719   15.699   15.716  
  object1275  31.74369   16.30633   15.377   14.836   14.544   19.948   17.817   16.924   16.559   16.342  
  object1276  29.24921   16.5625    15.19    14.492   14.301   20.96    18.609   17.401   16.778   16.377  
  object1277  33.61393   14.26177   10.407   9.902    9.824    14.924   15.02    11.867   11.588   12.717  
  object1278  33.1018    14.3619    15.137   14.599   14.483   21.583   18.877   17.507   16.922   16.545  
  object1279  32.33917   14.39956   12.046   11.631   11.538   15.981   14.448   13.702   13.767   13.321  
  object1280  32.27683   14.50531   15.205   15.066   14.991   17.072   15.756   15.731   15.774   15.811  
  object1281  34.53824   15.09303   14.345   13.862   13.754   999       999       999       999       999      
  object1282  34.59388   15.24119   15.664   15.065   14.946   999       999       999       999       999      
  object1283  34.62994   15.46488   15.109   14.566   14.661   999       999       999       999       999      
  object1284  34.38388   15.62482   14.515   13.923   13.679   21.66    19.372   17.881   16.605   15.903  
  object1285  32.50924   15.63396   14.412   13.885   13.772   18.616   16.806   15.973   15.647   15.471  
  object1286  32.91054   16.28983   14.786   14.535   14.336   17.197   16.047   15.69    15.562   15.534  
  object1287  36.38901   14.77936   15.985   16.125   16.383   999       999       999       999       999      
  object1288  35.55401   14.95094   13.912   13.492   13.315   999       999       999       999       999      
  object1289  35.58436   16.35934   13.841   13.46    13.398   999       999       999       999       999      
  object1290  36.89877   16.47361   15.351   15.015   14.958   999       999       999       999       999      
  object1291  35.22092   16.88397   14.359   13.719   13.424   999       999       999       999       999      
  object1292  37.21121   16.81912   15.145   14.748   14.717   999       999       999       999       999      
  object1293  39.26061   14.22934   13.912   13.548   13.432   999       999       999       999       999      
  object1294  38.37086   14.46595   999       999       999       999       999       999       999       999      
  object1295  37.83703   14.49638   13.593   13.039   12.987   999       999       999       999       999      
  object1296  38.5855    14.92232   11.554   11.178   11.096   999       999       999       999       999      
  object1297  39.52831   15.01194   15.418   15.183   15.361   999       999       999       999       999      
  object1298  39.48198   15.22644   999       999       999       999       999       999       999       999      
  object1299  37.96582   15.55019   999       999       999       999       999       999       999       999      
  object1300  38.24917   15.58945   11.96    11.772   11.674   999       999       999       999       999      
  object1301  39.62101   15.9784    13.86    13.278   13.14    999       999       999       999       999      
  object1302  39.567     16.37186   11.821   11.324   11.125   999       999       999       999       999      
  object1303  39.11389   16.52361   15.615   14.964   14.583   999       999       999       999       999      
  object1304  39.97092   16.56647   14.433   13.824   13.72    999       999       999       999       999      
  object1305  42.41756   14.57133   14.124   13.812   13.794   999       999       999       999       999      
  object1306  42.36643   15.85681   15.324   14.62    14.384   999       999       999       999       999      
  object1307  41.89938   16.22044   15.527   15.034   14.991   999       999       999       999       999      
  object1308  46.31148   14.34382   15.049   14.758   14.689   999       999       999       999       999      
  object1309  46.24533   14.65145   14.404   13.908   13.733   999       999       999       999       999      
  object1310  44.67212   14.80388   12.932   12.342   12.224   999       999       999       999       999      
  object1311  46.16253   15.10819   15.604   14.982   14.734   999       999       999       999       999      
  object1312  45.48103   15.73013   15.044   14.655   14.588   999       999       999       999       999      
  object1313  46.28744   15.97916   12.924   12.443   12.356   999       999       999       999       999      
  object1314  44.52282   16.06574   13.673   13.309   13.257   999       999       999       999       999      
  object1315  45.97819   16.10354   16.166   15.93    15.446   999       999       999       999       999      
  object1316  45.23309   16.70125   14.634   14.151   14.036   999       999       999       999       999      
  object1317  46.2384    16.80526   16.0     15.349   15.176   999       999       999       999       999      
  object1318  48.10366   14.374     13.58    12.993   12.85    999       999       999       999       999      
  object1319  47.52043   14.42307   14.644   14.118   13.881   999       999       999       999       999      
  object1320  48.94846   14.47754   16.025   15.663   15.283   999       999       999       999       999      
  object1321  46.65258   14.72552   14.226   13.944   13.82    999       999       999       999       999      
  object1322  46.95688   14.78631   14.881   14.45    14.36    999       999       999       999       999      
  object1323  49.11758   14.80359   12.462   12.123   12.055   999       999       999       999       999      
  object1324  46.65742   14.87277   14.814   14.217   14.159   999       999       999       999       999      
  object1325  47.34306   15.26409   16.023   15.49    15.55    999       999       999       999       999      
  object1326  46.50541   15.33539   14.107   13.754   13.621   999       999       999       999       999      
  object1327  47.12937   15.43872   13.481   12.915   12.801   999       999       999       999       999      
  object1328  46.56199   15.49016   15.937   15.327   15.446   999       999       999       999       999      
  object1329  47.05936   15.52873   15.391   14.947   14.822   999       999       999       999       999      
  object1330  46.78958   15.54638   12.245   11.814   11.736   999       999       999       999       999      
  object1331  48.66149   15.60462   13.819   13.373   13.202   999       999       999       999       999      
  object1332  47.32883   15.84687   13.551   13.312   13.265   999       999       999       999       999      
  object1333  48.35522   15.96782   12.234   11.783   11.714   999       999       999       999       999      
  object1334  46.53891   16.10158   14.655   14.052   13.853   999       999       999       999       999      
  object1335  51.19864   14.23075   15.945   15.721   15.551   18.818   17.462   17.084   16.902   16.784  
  object1336  49.41022   14.23274   999       999       999       999       999       999       999       999      
  object1337  51.7422    14.49439   999       999       999       999       999       999       999       999      
  object1338  50.1299    14.81606   15.552   15.122   15.124   999       999       999       999       999      
  object1339  50.81818   14.87154   16.842   16.528   16.176   999       999       999       999       999      
  object1340  52.09136   14.99858   15.368   14.751   14.615   19.942   17.783   16.727   16.275   15.969  
  object1341  50.84283   15.2123    999       999       999       999       999       999       999       999      
  object1342  50.49472   15.32818   14.715   14.353   14.369   999       999       999       999       999      
  object1343  49.64779   15.46004   14.794   14.659   14.403   999       999       999       999       999      
  object1344  51.3727    15.47975   15.428   15.077   14.984   999       999       999       999       999      
  object1345  52.06003   15.81935   13.211   12.616   12.483   999       999       999       999       999      
  object1346  50.69317   16.02012   14.953   14.652   14.391   999       999       999       999       999      
  object1347  51.45989   16.1485    14.152   13.613   13.547   999       999       999       999       999      
  object1348  51.85047   16.16237   12.826   12.321   12.183   999       999       999       999       999      
  object1349  51.98411   16.37296   16.416   15.652   15.275   20.329   18.788   18.053   17.767   17.586  
  object1350  49.60302   16.58447   15.106   14.431   14.392   999       999       999       999       999      
  object1351  49.91108   16.6722    15.033   14.663   14.445   999       999       999       999       999      
  object1352  51.38909   16.70089   999       999       999       999       999       999       999       999      
  object1353  49.55438   16.90492   14.232   13.862   13.678   999       999       999       999       999      
  object1354  2.10569    17.01327   14.753   14.368   14.268   18.138   16.747   16.124   15.852   15.705  
  object1355  0.94385    18.23005   999       999       999       999       999       999       999       999      
  object1356  2.94038    18.2626    14.911   14.46    14.425   17.497   16.186   15.698   15.511   15.444  
  object1357  0.78967    19.63826   16.288   15.676   16.196   20.538   18.938   17.86    17.562   17.391  
